artista,título,letra,gênero
taylor swift,cruel summer,"(Yeah, yeah, yeah, yeah)
Fever dream high in the quiet of the night
You know that I caught it (Oh yeah, you're right, I want it)
Bad, bad boy, shiny toy with a price
You know that I bought it (Oh yeah, you're right, I want it)



Killing me slow, out the window

I'm always waiting for you to be waiting below

Devils roll the dice, angels roll their eyes

What doesn't kill me makes me want you more



And it's new, the shape of your body

It's blue, the feeling I've got

And it's ooh, whoa oh

It's a cruel summer

It's cool, that's what I tell 'em

No rules, unbreakable heaven

But ooh, whoa oh

It's a cruel summer

With you



Hang your head low in the glow of the vending machine

I'm not buying (Oh yeah, you're right, I want it)

You say that we'll just screw it up in these trying times

We're not trying (Oh yeah, you're right, I want it)



So cut the headlights, summer's a knife

I'm always waiting for you just to cut to the bone

Devils roll the dice, angels roll their eyes

And if I bleed, you'll be the last to know



Oh, it's new, the shape of your body

It's blue, the feeling I've got

And it's ooh, whoa oh

It's a cruel summer

It's cool, that's what I tell 'em

No rules, unbreakable heaven

But ooh, whoa oh

It's a cruel summer

With you



I'm drunk in the back of the car

And I cried like a baby coming home from the bar (Oh)

Said I'm fine, but it wasn't true

I don't wanna keep secrets just to keep you

And I snuck in through the garden gate

Every night that summer just to seal my fate (Oh)

And I screamed for whatever it's worth

""I love you,"" ain't that the worst thing you ever heard?

He looks up, grinning like a devil



And it's new, the shape of your body

It's blue, the feeling I've got

And it's ooh, whoa oh

It's a cruel summer

It's cool, that's what I tell 'em

No rules, unbreakable heaven

But ooh, whoa oh

It's a cruel summer

With you



I'm drunk in the back of the car

And I cried like a baby coming home from the bar (Oh)

Said I'm fine, but it wasn't true

I don't wanna keep secrets just to keep you

And I snuck in through the garden gate

Every night that summer just to seal my fate (Oh)

And I screamed for whatever it's worth

""I love you,"" ain't that the worst thing you ever heard?

(Yeah, yeah, yeah, yeah)",pop
taylor swift,love story,"We were both young, when I first saw you.
I close my eyes and the flashback starts-
I'm standing there, on a balcony in summer air.
I see the lights; see the party, the ball gowns.
I see you make your way through the crowd-

You say hello, little did I know...



That you were Romeo, you were throwing pebbles-

And my daddy said ""stay away from Juliet""-

And I was crying on the staircase-

begging you, ""Please don't go...""

And I said...



Romeo take me somewhere, we can be alone.

I'll be waiting; all there's left to do is run.

You'll be the prince and I'll be the princess,

It's a love story, baby, just say yes.



So I sneak out to the garden to see you.

We keep quiet, because we're dead if they knew-

So close your eyes... escape this town for a little while.

Oh, Oh.



Cause you were Romeo - I was a scarlet letter,

And my daddy said ""stay away from Juliet"" -

but you were everything to me-

I was begging you, ""Please don't go""

And I said...



Romeo take me somewhere, we can be alone.

I'll be waiting; all there's left to do is run.

You'll be the prince and I'll be the princess.

It's a love story, baby, just say yes-



Romeo save me, they're trying to tell me how to feel.

This love is difficult, but it's real.

Don't be afraid, we'll make it out of this mess.

It's a love story, baby, just say yes.

Oh, Oh.



I got tired of waiting.

Wondering if you were ever coming around.

My faith in you was fading-

When I met you on the outskirts of town.

And I said...



Romeo save me, I've been feeling so alone.

I keep waiting, for you but you never come.

Is this in my head, I don't know what to think-

He knelt to the ground and pulled out a ring and said...



Marry me Juliet, you'll never have to be alone.

I love you, and that's all I really know.

I talked to your dad -- go pick out a white dress

It's a love story, baby just say... yes.

Oh, Oh, Oh, Oh, Oh.



'cause we were both young when I first saw you",pop
taylor swift,i did something bad,"I never trust a narcissist
But they love me
So I play 'em like a violin
And I make it look oh-so-easy
'Cause for every lie I tell them
They tell me three

This is how the world works

Now all he thinks about is me



I can feel the flames on my skin

Crimson red paint on my lips

If a man talks shit, then I owe him nothing

I don't regret it one bit, 'cause he had it coming



They say I did something bad, ah

Then why's it feel so good?

They say I did something bad, ah

But why's it feel so good?

Most fun I ever had, ah

And I'd do it over and over and over again if I could

It just felt so good, good



Ra-ta-ta-ta-ta-ta-ta-ta-ta-ta, death trap

Ra-ta-ta-ta-ta-ta-ta-ta-ta-ta, death trap

Ra-ta-ta-ta-ta-ta-ta-ta-ta-ta, death trap

Death trap, trap, trap



I never trust a playboy

But they love me

So I fly 'em all around the world

And I let them think they saved me

They never see it comin'

What I do next

This is how the world works

You gotta leave before you get left



I can feel the flames on my skin

He says, ""Don't throw away a good thing""

But if he drops my name, then I owe him nothin'

And if he spends my change, then he had it comin'



They say I did something bad, ah

Then why's it feel so good?

They say I did something bad, ah

But why's it feel so good?

Most fun I ever had, ah

And I'd do it over and over and over again if I could

It just felt so good, good



Ra-ta-ta-ta-ta-ta-ta-ta-ta-ta, death trap

Ra-ta-ta-ta-ta-ta-ta-ta-ta-ta, death trap

(It just felt so good)

Ra-ta-ta-ta-ta-ta-ta-ta-ta-ta, death trap

Death trap, trap, trap



They're burning all the witches, even if you aren't one

They got their pitchforks and proof

Their receipts and reasons

They're burning all the witches, even if you aren't one

So light me up (light me up), light me up (light me up)

Light me up, go ahead and light me up (light me up)

Light me up (light me up), light me up (light me up)

Light me up (light me up), light me up



They say I did something bad, ah (oh)

Then why's it feel so good? (so good)

They say I did something bad, ah

But why's it feel so good? (good)

Most fun I ever had (most fun I ever had)

And I'd do it over and over and over again if I could

It just felt so good (good), good



Ra-ta-ta-ta-ta-ta-ta-ta-ta-ta, death trap

Ra-ta-ta-ta-ta-ta-ta-ta-ta-ta

Oh, you say I did something bad

(You say I did something bad)



Then why's it feel so good, good?

So bad

why's it feel so good?

why's it feel

Why's it feel so good? (bad)

It just felt so good, good",pop
taylor swift,shake it off,"I stay out too late
Got nothing in my brain
That's what people say
That's what people say
I go on too many dates

But I can't make them stay

At least that's what people say

That's what people say



But I keep cruising

Can't stop, won't stop moving

It's like I got this music in my mind

Saying it's gonna be alright



Cause the players gonna play, play, play, play, play

And the haters gonna hate, hate, hate, hate, hate

Baby, I'm just gonna shake, shake, shake, shake, shake

I shake it off, I shake it off



Heartbreakers gonna break, break, break, break, break

And the fakers gonna fake, fake, fake, fake, fake

Baby, I'm just gonna shake, shake, shake, shake, shake

I shake it off, I shake it off



I'll never miss a beat, I'm lightning on my feet

And that's what they don't see, that's what they don't see

I'm dancing on my own (dancing on my own),

I'll make the moves up as I go (moves up as I go),

And that's what they don't know, that's what they don't know



But I keep cruising

Can't stop, won't stop grooving

It's like I got this music in my mind

Saying it's gonna be alright



Cause the players gonna play, play, play, play, play

And the haters gonna hate, hate, hate, hate, hate

Baby, I'm just gonna shake, shake, shake, shake, shake

I shake it off, I shake it off



Heartbreakers gonna break, break, break, break, break

And the fakers gonna fake, fake, fake, fake, fake

Baby, I'm just gonna shake, shake, shake, shake, shake

I shake it off, I shake it off



I, I shake it off, I shake it off

I, I shake it off, I shake it off

I, I shake it off, I shake it off

I, I shake it off, I shake it off



Hey, hey, hey

Just think while you been getting down and out about the liars

And the dirty dirty cheats of the world

You could have been getting down to this sick beat



My ex-man bought his new girlfriend

She's like ""Oh my God"", but I'm just gonna shake it

And to the fella over there with the hella good hair

Won't you come on over, baby, we can shake, shake, shake



Cause the players gonna play, play, play, play, play

And the haters gonna hate, hate, hate, hate, hate

Baby, I'm just gonna shake, shake, shake, shake, shake

I shake it off, I shake it off



Heartbreakers gonna break, break, break, break, break

And the fakers gonna fake, fake, fake, fake, fake

Baby, I'm just gonna shake, shake, shake, shake, shake

I shake it off, I shake it off



I shake it off, I shake it off

I, I shake it off, I shake it off

I, I shake it off, I shake it off

I, I shake it off, I shake it off



Shake it off, shake it off

I, I shake it off, I shake it off

(You've got to) Shake it off, I shake it off

I, I shake it off, I shake it off",pop
taylor swift,red,"Loving him is like driving a new Maserati down a dead end street
Faster than the wind
Passionate as sin, ended so suddenly
Loving him is like trying to change your mind
Once you're already flying through the free fall
Like the colors in autumn

So bright just before they lose it all



Losing him was blue like I'd never known

Missing him was dark grey all alone

Forgetting him was like trying to know somebody you've never met

But loving him was red

Loving him was red



Touching him is like realizing all you ever wanted was right there in front of you

Memorizing him was as easy as knowing all the words to your old favorite song

Fighting with him was like trying to solve a crossword and realizing there's no right answer

Regretting him was like wishing you never found out love could be that strong



Losing him was blue like I'd never known

Missing him was dark grey all alone

Forgetting him was like trying to know somebody you've never met

But loving him was red

Oh red burning red



Remembering him comes in flashbacks and echoes

Tell myself it's time now, gotta let go

But moving on from him is impossible

When I still see it all in my head



Burning red!

Darling it was red!



Oh, losing him was blue like I'd never known

Missing him was dark grey all alone

Forgetting him was like trying to know somebody you've never met

Cause loving him was red yeah yeah red

We're burning red



And that's why he's spinning round in my head

Comes back to me burning red

Yeah yeah



Cause love was like driving a new Maserati down a dead end street",pop
ariana grande,7 rings,"Paroles de la chanson 7 rings par Ariana Grande
Yeah, breakfast at Tiffany's & bottles of bubbles
Girls with tattoos who like getting in trouble
Lashes & diamonds, ATM machines
Buy myself all of my favorite things (Yeah)
Been through some bad shit, I should be a sad bitch
Who woulda thought it'd turn me to a savage?
Rather be tied up with calls & not strings
Write my own checks like I write what I sing, yeah (Yeah)

My wrist, stop watchin', my neck is flossy
Make big deposits, my gloss is poppin'
You like my hair? Gee, thanks, just bought it
I see it, I like it, I want it, I got it (Yeah)


I want it, I got it, I want it, I got it
I want it, I got it, I want it, I got it
You like my hair? Gee, thanks, just bought it
I see it, I like it, I want it, I got it (Yep)

Wearing a ring, but ain't gon' be no ""Mrs.""
Bought matching diamonds for six of my bitches
I'd rather spoil all my friends with my riches
Think retail therapy my new addiction
Whoever said money can't solve your problems
Must not have had enough money to solve 'em
They say, ""Which one?"" I say, ""Nah, I want all of 'em""
Happiness is the same price as red-bottoms

My smile is beamin' (Yeah), my skin is gleamin' (Is gleamin')
The way it shine, I know you've seen it (You've seen it)

I bought a crib just for (Just for) the closet (Closet)
Both his & hers, I want it, I got it, yeah

I want it, I got it, I want it, I got it
I want it, I got it, I want it, I got it (Baby)
You like my hair? Gee, thanks, just bought it (Oh yeah)
I see it, I like it, I want it, I got it (Yep)

Yeah, my receipts be lookin' like phone numbers
If it ain't money, then wrong number
Black card is my business card
The way it be settin' the tone for me
I don't mean to brag, but I be like, ""Put it in the bag,"" yeah
When you see them racks, they stacked up like my ass, yeah

Shoot, go from the store to the booth
Make it all back in one loop, gimme the loot
Never mind, I got the juice
Nothing but net when we shoot
Look at my neck, look at my jet
Ain't got enough money to pay me respect
Ain't no budget when I'm on the set
If I like it, then that's what I get, yeah

I want it, I got it, I want it, I got it (Oh yeah)
I want it, I got it, I want it, I got it (Oh yeah, yeah)
You like my hair? Gee, thanks, just bought it
I see it, I like it, I want it, I got it (I see, yep)",pop
ariana grande,"yes, and?","In case you haven't noticed
Well, everybody's tired
And healin' from somebody
Or somethin' we don't see just right
Boy, come on, put your lipstick on (No one can tell you nothin')

Come on and walk this way through the fire (Don't care what's on their mind)

And if you find yourself in a dark situation

Just turn on your light and be like



""Yes, and?""

Say that shit with your chest, and

Be your own fuckin' best friend

Say that shit with your chest

Keep moving like, ""What's next?""

""Yes, and?""



Now, I'm so done with caring

What you think, no, I won't hide

Underneath your own projections

Or change my most authentic life



Boy, come on, put your lipstick on (No one can tell you nothin')

Come on and walk this way through the fire (Don't care what's on their mind)

And if you find yourself in a dark situation

Just turn on your light and be like



""Yes, and?""

Say that shit with your chest, and

Be your own fuckin' best friend

Say that shit with your chest

Keep moving like, ""What's next?""

""Yes, and?"" (Yeah)



My tongue is sacred, I speak upon what I like

Protected, sexy, discerning with my time (My time)

Your energy is yours and mine is mine (It's mine, it's mine)

What's mine is mine

My face is sitting, I don't need no disguise (I don't need no disguise)

Don't comment on my body, do not reply

Your business is yours and mine is mine

Why do you care so much whose **** I ride?

Why?



""Yes, and?"" (Yes, and?)

Say that shit with your chest, and (Say that shit with your chest)

Be your own fuckin' best friend (Oh, be your own, be your own)

Say that shit with your chest (Say that shit with your chest)

Keep moving like, ""What's next?""

""Yes, and?""

""Yes, and?""

Say that shit with your chest, and

Be your own fuckin' best (Be your own) friend

Say that shit with your chest

Keep moving like, ""What's next?""

""Yes, and?"" (Yeah)",pop
ariana grande,positions,"Heaven sent you to me
I'm just hopin’ I don't repeat history
Boy, I'm tryna meet your mama on a Sunday
Then make a lotta love on a Monday (Ah, ah)
Never need no (No), no one else, babe

’Cause I'll be



Switchin' the positions for you

Cookin' in the kitchen and I'm in the bedroom

I'm in the Olympics, way I'm jumpin' through hoops

Know my love infinite, nothin’ I wouldn’t do

That I won't do, switchin’ for you



Perfect, perfect

You're too good to be true (You're too good to be true)

But I get tired of runnin', fuck it

Now, I’m runnin' with you (With you)

Said, boy, I'm tryna meet your mama on a Sunday

Then make a lotta love on a Monday (Ah, ah)

Never need no (No), no onе else, babe

'Causе I'll be



Switchin' the positions for you

Cookin' in the kitchen and I'm in the bedroom

I'm in the Olympics, way I'm jumpin' through hoops

Know my love infinite, nothin' I wouldn't do

That I won't do, switchin' for you

Cookin' in the kitchen and I'm in the bedroom

I'm in the Olympics, way I'm jumpin' through hoops

Know my love infinite, nothin' I wouldn't do (Nothin')

That I won't do, switchin' for you



This some shit that I usually don't do (Yeah)

But for you, I kinda, kinda want to (Mmm)

'Cause you're down for me and I'm down too (And I'm down too)

Yeah, I'm down too

Switchin' the positions for you

This some shit that I (Yeah) usually don't do (Don't do)

But for you, I kinda, kinda want to (Mmm)

'Cause you're down for me and I'm down too ('Cause you're down for me)



Switchin' the positions for you

Cookin' in the kitchen and I'm in the bedroom

I'm in the Olympics, way I'm jumpin' through hoops (Jumpin', jumpin')

Know my love infinite, nothin' I wouldn't do

That I won't do, switchin' for you (Ooh woah)

Cookin' in the kitchen and I'm in the bedroom

I'm in the Olympics, way I'm jumpin' through hoops

Know my love infinite, nothin' I wouldn't do (I wouldn't do)

That I won't do, switchin' for you



Yeah

Ah, yeah

Ah (Ah), yeah",pop
ariana grande,the boy is mine,"How can it be you and me?
Might be meant to be
Can't unsee it
But I don't wanna cause no scene
I'm usually so unproblematic
So independent

Tell me why

'Cause the boy is mi-ine



Something about him is made for somebody like me

Baby, come over, come over

And God knows I'm trying, but there's just no use in denying



The boy is mine

I can't wait to try him

Let's get intertwined

The stars, they aligned

The boy is mine

Watch me take my time

I can't believe my mind

The boy is divine

Boy is mine



Please know this ain't what I planned for

Probably wouldn't bet a dime or my life on

There's gotta be a reason why

My girls, they always come throughin a sticky situation

Say, ""it's fine"" (""it's fine"")

Happens all the ti-ime



Something about him is made for somebody like me

Baby, come over, come over

And God knows I'm trying, but there's just no use in denying



The boy is mine

I can't wait to try him

Let's get intertwined

The stars, they aligned

The boy is mine

Watch me take my time

I can't believe my mind

The boy is divine

Boy is...



And I know it's simply meant to be

And I

I take full accountability for all these tears

Promise you I'm not usually

Like this, shit, it's like news to me

To me

But I can't ignore my heart, boy!



The boy is mine

I can't wait to try him

Let's get intertwined

The stars, they aligned

The boy is mine

Watch me take my time

I can't believe my mind

The boy is divine

Boy is mine",pop
ariana grande,one last time,"I was a liar
I gave into the fire
I know I should've fought it
At least I'm being honest
Feel like a failure
Cause I know that I failed you

I should've done you better

Cause you don't want a liar (come on)



And I know, and I know, and I know

She gives you everything but boy I couldn't give it to you

And I know, and I know, and I know

That you got everything

But I got nothing here without you



So one last time

I need to be the one who takes you home

One more time

I promise after that, I'll let you go

Baby I don't care if you got her in your heart

All I really care is you wake up in my arms

One last time

I need to be the one who takes you home



I don't deserve it

I know I don't deserve it

But stay with me a minute

I'll swear I'll make it worth it

Can't you forgive me

At least just temporarily

I know that this is my fault

I should have been more careful (come on)



And I know, and I know, and I know

She gives you everything but boy I couldn't give it to you

And I know, and I know, and I know

That you got everything

But I got nothing here without you



So one last time

I need to be the one who takes you home

One more time

I promise after that, I'll let you go

Baby I don't care if you got her in your heart

All I really care is you wake up in my arms

One last time

I need to be the one who takes you home



I know I shouldn't fight it

At least I'm being honest

Just stay with me a minute

I swear I'll make it worth it

Cause I don't want to be without you



So one last time

I need to be the one who takes you home

One more time

I promise after that, I'll let you go

Baby I don't care if you got her in your heart

All I really care is you wake up in my arms

One last time

I need to be the one who takes you home



One last time

I need to be the one who takes you home",pop
